cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.07598,0,0.7598
0.7598,0.438,0,-0.07598,0,0.7598
0.7598,0.438,0,-0.07598,0,0.7598
0.7598,0.876,-1.4632,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.752,-1.4632,-0.07598,0,0.7598
0.7598,2.19,-1.4632,-0.07598,0,0.7598
0.7598,2.19,-1.4632,-0.07598,0,0.7598
0.7598,2.628,-1.4632,-0.07598,0,0.7598
0.7598,3.066,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.942,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,5.256,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7599,6.57,-1.4632,-0.07599,0.0001,0.759806
0.7599,6.57,-1.4632,-0.07599,0,0.759811
0.7599,6.7858,-1.4634,-0.07599,0,0.759815
0.7598,4.8684,-1.4634,-0.07598,-0.0001,0.759814
0.7598,3.1915,-1.4634,-0.07598,0,0.759814
0.7597,1.6861,-1.4632,-0.07597,-0.0001,0.759809
0.7597,0.4756,-1.4632,-0.07597,0,0.759804
0.7596,0.5874,-1.4629,-0.07596,-0.0001,0.759796
0.7596,0.5874,-1.4629,-0.07596,0,0.759788
0.7596,1.2267,-1.4627,-0.07596,0,0.759781
0.7595,1.6212,-1.4627,-0.07595,-0.0001,0.759771
0.7595,1.7652,-1.4627,-0.07595,0,0.759762
0.7594,1.7221,-1.4624,-0.07594,-0.0001,0.75975
0.7592,1.321,-1.4624,-0.07592,-0.0002,0.759732
0.759,1.0579,-1.4622,-0.0759,-0.0002,0.759709
0.759,1.0579,-1.4622,-0.0759,0,0.759688
0.7589,0.7964,-1.4612,-0.07589,-0.0001,0.759665
0.7588,0.6125,-1.4612,-0.07588,-0.0001,0.75964
0.7587,0.5092,-1.4609,-0.07587,-0.0001,0.759614
0.7587,0.5092,-1.4609,-0.07587,0,0.759589
0.7586,0.5307,-1.4604,-0.07586,-0.0001,0.759563
0.7583,0.66,-1.4604,-0.07583,-0.0003,0.759531
0.7581,0.6994,-1.4602,-0.07581,-0.0002,0.759495
0.758,0.7089,-1.4594,-0.0758,-0.0001,0.759459
0.7576,0.7586,-1.4589,-0.07576,-0.0004,0.759414
0.7576,0.7586,-1.4589,-0.07576,0,0.759372
0.7575,0.7689,-1.4577,-0.07575,-0.0001,0.75933
0.7573,0.7506,-1.4577,-0.07573,-0.0002,0.759284
0.7571,0.7751,-1.4574,-0.07571,-0.0002,0.759237
0.7571,0.7751,-1.4574,-0.07571,0,0.759191
0.7569,0.8295,-1.4564,-0.07569,-0.0002,0.759144
0.7567,0.855,-1.4564,-0.07567,-0.0002,0.759094
0.7564,0.917,-1.4559,-0.07564,-0.0003,0.75904
0.7562,0.9032,-1.4554,-0.07562,-0.0002,0.758984
0.7557,1.0378,-1.4547,-0.07557,-0.0005,0.758921
0.7555,1.0021,-1.4542,-0.07555,-0.0002,0.758857
0.7555,1.0021,-1.4542,-0.07555,0,0.758794
0.7552,1.102,-1.4524,-0.07552,-0.0003,0.758729
0.7549,1.0782,-1.4524,-0.07549,-0.0003,0.758661
0.7546,1.0903,-1.4517,-0.07546,-0.0003,0.758589
0.7546,1.0903,-1.4517,-0.07546,0,0.758521
0.7543,1.1862,-1.4502,-0.07543,-0.0003,0.758449
0.754,1.2104,-1.4502,-0.0754,-0.0003,0.758375
0.7537,1.202,-1.4494,-0.07537,-0.0003,0.758298
0.7534,1.2766,-1.4487,-0.07534,-0.0003,0.758219
0.7531,1.3227,-1.4479,-0.07531,-0.0003,0.758138
0.7527,1.3701,-1.4472,-0.07527,-0.0004,0.758053
0.7527,1.3701,-1.4472,-0.07527,0,0.757971
0.752,1.4309,-1.4454,-0.0752,-0.0007,0.75788
0.7516,1.4959,-1.4454,-0.07516,-0.0004,0.757787
0.7512,1.5537,-1.4437,-0.07512,-0.0004,0.75769
0.7503,1.6532,-1.4427,-0.07503,-0.0009,0.757583
0.7503,1.6532,-1.4427,-0.07503,0,0.757479
0.7499,1.6773,-1.4394,-0.07499,-0.0004,0.757372
0.7489,1.7852,-1.4394,-0.07489,-0.001,0.757254
0.7485,1.8314,-1.4384,-0.07485,-0.0004,0.757134
0.748,1.8876,-1.4359,-0.0748,-0.0005,0.757011
0.748,1.8876,-1.4359,-0.0748,0,0.756891
0.7474,1.941,-1.4337,-0.07474,-0.0006,0.756766
0.7469,1.9882,-1.4337,-0.07469,-0.0005,0.756638
0.7464,2.0505,-1.4322,-0.07464,-0.0005,0.756506
0.7458,2.0938,-1.4309,-0.07458,-0.0006,0.756371
0.7458,2.0938,-1.4309,-0.07458,0,0.756239
0.7452,2.167,-1.4282,-0.07452,-0.0006,0.756102
0.7446,2.2476,-1.4282,-0.07446,-0.0006,0.755962
0.7433,2.3585,-1.4267,-0.07433,-0.0013,0.75581
0.7426,2.4208,-1.4252,-0.07426,-0.0007,0.755652
0.7412,2.5632,-1.4219,-0.07412,-0.0014,0.755482
0.7404,2.6349,-1.4202,-0.07404,-0.0008,0.755307
0.7396,2.7033,-1.4167,-0.07396,-0.0008,0.755126
0.7388,2.7732,-1.4147,-0.07388,-0.0008,0.754941
0.7388,2.7732,-1.4147,-0.07388,0,0.75476
0.738,2.8419,-1.4107,-0.0738,-0.0008,0.754573
0.7372,2.9091,-1.4107,-0.07372,-0.0008,0.754382
0.7363,2.9815,-1.4087,-0.07363,-0.0009,0.754186
0.7354,3.0661,-1.4067,-0.07354,-0.0009,0.753984
0.7354,3.0661,-1.4067,-0.07354,0,0.753786
0.7345,3.1319,-1.4022,-0.07345,-0.0009,0.753583
0.7325,3.2649,-1.4022,-0.07325,-0.002,0.753364
0.7315,3.3313,-1.3999,-0.07315,-0.001,0.753138
0.7305,3.3982,-1.3949,-0.07305,-0.001,0.752907
0.7294,3.4633,-1.3924,-0.07294,-0.0011,0.75267
0.7294,3.4633,-1.3924,-0.07294,0,0.752437
0.7283,3.5302,-1.3872,-0.07283,-0.0011,0.752122
0.7272,3.5948,-1.3872,-0.07272,-0.0011,0.751796
0.726,3.663,-1.3844,-0.0726,-0.0012,0.751458
0.7248,3.7285,-1.3817,-0.07248,-0.0012,0.751108
0.7236,3.7948,-1.3787,-0.07236,-0.0012,0.750746
0.7198,3.9886,-1.3757,-0.07198,-0.0038,0.750346
0.7198,3.9886,-1.3757,-0.07198,0,0.749946
