cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.30392,0,0.7598
0.7598,0.438,0,-0.30392,0,0.7598
0.7598,0.876,-7.1617,-0.30392,0,0.7598
0.7598,1.314,-7.1617,-0.30392,0,0.7598
0.7598,1.752,-7.1617,-0.30392,0,0.7598
0.7598,1.752,-7.1617,-0.30392,0,0.7598
0.7598,2.628,-7.1617,-0.30392,0,0.7598
0.7598,2.628,-7.1617,-0.30392,0,0.7598
0.7598,3.066,-7.1617,-0.30392,0,0.7598
0.7598,3.504,-7.1617,-0.30392,0,0.7598
0.7598,3.504,-7.1617,-0.30392,0,0.7598
0.7598,3.942,-7.1617,-0.30392,0,0.7598
0.7598,4.38,-7.1617,-0.30392,0,0.7598
0.7598,4.818,-7.1617,-0.30392,0,0.7598
0.7598,5.694,-7.1617,-0.30392,0,0.7598
0.7598,6.132,-7.1617,-0.30392,0,0.7598
0.7598,6.132,-7.1617,-0.30392,0,0.7598
0.7599,6.57,-7.1617,-0.30446,0.0001,0.759806
0.7598,6.7858,-7.1617,-0.30342,-0.0001,0.759805
0.7597,4.8699,-7.1752,-0.30338,-0.0001,0.7598
0.7596,3.1916,-7.1492,-0.30334,-0.0001,0.75979
0.7596,3.1916,-7.1492,-0.30384,0,0.759782
0.7594,1.6791,-7.1472,-0.30276,-0.0002,0.759765
0.7592,0.5224,-7.1597,-0.30268,-0.0002,0.759742
0.759,0.5859,-7.1327,-0.3026,-0.0002,0.759712
0.7588,1.2419,-7.1307,-0.30252,-0.0002,0.759677
0.7585,1.6107,-7.1287,-0.3019,-0.0003,0.759633
0.7583,1.7553,-7.1267,-0.30232,-0.0002,0.759586
0.7581,1.7172,-7.1112,-0.30224,-0.0002,0.759534
0.7581,1.7172,-7.1112,-0.30324,0,0.759487
0.7578,1.5574,-7.1197,-0.30162,-0.0003,0.759432
0.7576,1.3144,-7.1447,-0.30204,-0.0002,0.759375
0.7573,1.0497,-7.1042,-0.30142,-0.0003,0.759312
0.7566,0.6032,-7.1147,-0.29914,-0.0007,0.759232
0.7566,0.6032,-7.1147,-0.30264,0,0.759157
0.7563,0.4846,-7.0422,-0.30102,-0.0003,0.759078
0.7559,0.501,-7.1297,-0.30036,-0.0004,0.758992
