cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.15196,0,0.7598
0.7598,0.438,0,-0.15196,0,0.7598
0.7598,0.876,-3.3627,-0.15196,0,0.7598
0.7598,0.876,-3.3627,-0.15196,0,0.7598
0.7598,1.314,-3.3627,-0.15196,0,0.7598
0.7598,1.752,-3.3627,-0.15196,0,0.7598
0.7598,2.19,-3.3627,-0.15196,0,0.7598
0.7598,2.628,-3.3627,-0.15196,0,0.7598
0.7598,2.628,-3.3627,-0.15196,0,0.7598
0.7598,3.066,-3.3627,-0.15196,0,0.7598
0.7598,3.504,-3.3627,-0.15196,0,0.7598
0.7598,3.942,-3.3627,-0.15196,0,0.7598
0.7598,4.38,-3.3627,-0.15196,0,0.7598
0.7598,4.38,-3.3627,-0.15196,0,0.7598
0.7598,4.818,-3.3627,-0.15196,0,0.7598
0.7598,5.256,-3.3627,-0.15196,0,0.7598
0.7598,5.694,-3.3627,-0.15196,0,0.7598
0.7598,6.132,-3.3627,-0.15196,0,0.7598
0.7599,6.57,-3.3627,-0.152771,0.0001,0.759805
0.7598,6.7858,-3.3627,-0.151161,-0.0001,0.759805
0.7598,6.7858,-3.3627,-0.15196,0,0.759805
0.7598,4.8687,-3.3427,-0.15196,0,0.759805
0.7597,3.1887,-3.3627,-0.15115,-0.0001,0.7598
0.7597,1.6784,-3.3627,-0.15195,0,0.759796
0.7596,0.4882,-3.3424,-0.151139,-0.0001,0.759788
0.7596,0.4882,-3.3424,-0.151938,0,0.759781
0.7595,0.6077,-3.3421,-0.151127,-0.0001,0.75977
0.7594,1.2365,-3.3621,-0.151116,-0.0001,0.759757
0.7593,1.6057,-3.3418,-0.151104,-0.0001,0.759741
0.7591,1.7636,-3.3416,-0.150282,-0.0002,0.75972
0.7589,1.7317,-3.3413,-0.150259,-0.0002,0.759694
0.7588,1.561,-3.3207,-0.151047,-0.0001,0.759666
0.7588,1.561,-3.3207,-0.151844,0,0.759639
0.7586,1.3192,-3.3398,-0.150221,-0.0002,0.759609
0.7585,1.0552,-3.3598,-0.151008,-0.0001,0.759577
0.7583,0.8077,-3.3192,-0.150184,-0.0002,0.759542
0.7581,0.6202,-3.3389,-0.15016,-0.0002,0.759503
0.7579,0.5212,-3.3183,-0.150136,-0.0002,0.759461
0.7579,0.5212,-3.3183,-0.151732,0,0.759421
0.7577,0.53,-3.3171,-0.150108,-0.0002,0.759377
0.7572,0.6325,-3.357,-0.147652,-0.0005,0.759324
0.7572,0.6325,-3.357,-0.151647,0,0.759274
0.757,0.6941,-3.255,-0.150022,-0.0002,0.759221
0.7567,0.709,-3.3549,-0.149186,-0.0003,0.759164
0.7564,0.7495,-3.3142,-0.14915,-0.0003,0.759102
0.7561,0.7481,-3.2933,-0.149114,-0.0003,0.759037
0.7558,0.7624,-3.2924,-0.149077,-0.0003,0.758968
0.7558,0.7624,-3.2924,-0.15147,0,0.758902
0.7555,0.7785,-3.2906,-0.149033,-0.0003,0.758833
0.7555,0.7785,-3.2906,-0.151427,0,0.758766
0.7552,0.8194,-3.2895,-0.14899,-0.0003,0.758696
0.7552,0.8194,-3.2895,-0.151383,0,0.758629
0.7549,0.8373,-3.2884,-0.148946,-0.0003,0.758558
0.7545,0.8665,-3.3482,-0.148098,-0.0004,0.758483
0.7541,0.8843,-3.2873,-0.14805,-0.0004,0.758404
