cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.07598,0,0.7598
0.7598,0,0,-0.07598,0,0.7598
0.7598,0.438,-1.4632,-0.07598,0,0.7598
0.7598,0.876,-1.4632,-0.07598,0,0.7598
0.7598,0.876,-1.4632,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.752,-1.4632,-0.07598,0,0.7598
0.7598,2.19,-1.4632,-0.07598,0,0.7598
0.7598,2.628,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,4.818,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7599,6.57,-1.4632,-0.07679,0.0001,0.759806
0.7599,6.7858,-1.4632,-0.07599,0,0.759812
0.7598,4.8684,-1.4834,-0.07518,-0.0001,0.759811
0.7598,3.1915,-1.4634,-0.07598,0,0.759811
0.7598,3.1915,-1.4634,-0.07598,0,0.75981
0.7598,1.6819,-1.4632,-0.07598,0,0.75981
0.7597,0.4893,-1.4632,-0.07517,-0.0001,0.759805
0.7597,0.5891,-1.4632,-0.07597,0,0.7598
0.7595,1.6117,-1.4429,-0.07435,-0.0002,0.759787
0.7594,1.7582,-1.4629,-0.07514,-0.0001,0.759772
0.7592,1.323,-1.4224,-0.07432,-0.0002,0.75975
0.7591,1.0577,-1.4422,-0.07511,-0.0001,0.759726
0.7591,1.0577,-1.4422,-0.07591,0,0.759704
0.759,0.7832,-1.4414,-0.0751,-0.0001,0.759679
0.7589,0.5974,-1.4614,-0.07509,-0.0001,0.759653
0.7588,0.5288,-1.4412,-0.07508,-0.0001,0.759626
0.7587,0.5051,-1.4409,-0.07507,-0.0001,0.759597
0.7586,0.5594,-1.4407,-0.07506,-0.0001,0.759567
0.7585,0.613,-1.4404,-0.07505,-0.0001,0.759535
0.7585,0.613,-1.4404,-0.07585,0,0.759506
0.7583,0.6618,-1.4399,-0.07423,-0.0002,0.759472
0.7582,0.6764,-1.4599,-0.07502,-0.0001,0.759438
0.758,0.6652,-1.4194,-0.0742,-0.0002,0.7594
0.7577,0.6923,-1.4392,-0.07337,-0.0003,0.759356
0.7577,0.6923,-1.4392,-0.07577,0,0.759315
0.7575,0.7081,-1.3979,-0.07415,-0.0002,0.759271
0.7574,0.7294,-1.4579,-0.07494,-0.0001,0.759226
0.7572,0.7419,-1.4174,-0.07412,-0.0002,0.759179
0.757,0.7773,-1.4372,-0.0741,-0.0002,0.75913
0.7568,0.8579,-1.4167,-0.07408,-0.0002,0.759078
0.7568,0.8579,-1.4167,-0.07568,0,0.759028
0.7566,0.834,-1.4157,-0.07406,-0.0002,0.758977
0.7564,0.8491,-1.4557,-0.07404,-0.0002,0.758923
0.7562,0.8931,-1.4152,-0.07402,-0.0002,0.758867
0.756,0.9371,-1.4147,-0.074,-0.0002,0.75881
0.756,0.9371,-1.4147,-0.0756,0,0.758755
0.7557,0.9373,-1.4137,-0.07317,-0.0003,0.758696
0.7555,0.9593,-1.4537,-0.07395,-0.0002,0.758636
0.7552,1.0164,-1.3929,-0.07312,-0.0003,0.758572
0.755,1.0096,-1.4124,-0.0739,-0.0002,0.758507
0.7547,1.0428,-1.3917,-0.07307,-0.0003,0.758439
0.7547,1.0428,-1.3917,-0.07547,0,0.758374
0.7545,1.1024,-1.3904,-0.07385,-0.0002,0.758307
0.7542,1.1123,-1.4504,-0.07302,-0.0003,0.758237
0.7539,1.1424,-1.4099,-0.07299,-0.0003,0.758165
0.7536,1.2062,-1.3892,-0.07296,-0.0003,0.75809
0.7533,1.1989,-1.3884,-0.07293,-0.0003,0.758013
0.7531,1.2445,-1.3877,-0.07371,-0.0002,0.757935
0.7531,1.2445,-1.3877,-0.07531,0,0.757859
