cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0.438,0,-0.07598,0,0.7598
0.7598,0.876,0,-0.07598,0,0.7598
0.7598,0.876,0,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.752,-1.4632,-0.07598,0,0.7598
0.7598,2.628,-1.4632,-0.07598,0,0.7598
0.7598,3.066,-1.4632,-0.07598,0,0.7598
0.7598,3.066,-1.4632,-0.07598,0,0.7598
0.7598,3.942,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,4.818,-1.4632,-0.07598,0,0.7598
0.7598,5.256,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7599,6.57,-1.4632,-0.07619,0.0001,0.759806
0.7599,6.7858,-1.4632,-0.07599,0,0.759812
0.7598,4.8701,-1.4684,-0.07578,-0.0001,0.759811
0.7598,3.1913,-1.4634,-0.07598,0,0.759811
0.7598,3.1913,-1.4634,-0.07598,0,0.75981
0.7598,1.6752,-1.4632,-0.07598,0,0.75981
0.7597,0.4664,-1.4632,-0.07577,-0.0001,0.759805
0.7596,0.6491,-1.4632,-0.07576,-0.0001,0.759796
0.7596,1.2292,-1.4579,-0.07596,0,0.759787
0.7595,1.6094,-1.4577,-0.07575,-0.0001,0.759776
0.7594,1.7657,-1.4627,-0.07574,-0.0001,0.759762
0.7582,0.6949,-1.4574,-0.07342,-0.0012,0.759704
0.7579,0.7548,-1.4572,-0.07519,-0.0003,0.759639
0.757,0.8091,-1.3992,-0.0739,-0.0009,0.759548
0.7568,0.8585,-1.4434,-0.07528,-0.0002,0.759457
0.7561,0.9195,-1.4112,-0.07421,-0.0007,0.759348
0.7561,0.9195,-1.4112,-0.07561,0,0.759247
0.7559,0.948,-1.4189,-0.07519,-0.0002,0.759145
0.7556,1.0342,-1.4539,-0.07496,-0.0003,0.759041
0.7554,1.0835,-1.4434,-0.07514,-0.0002,0.758937
0.7554,1.0835,-1.4434,-0.07554,0,0.758839
0.7551,1.123,-1.4422,-0.07491,-0.0003,0.758738
0.7548,1.1498,-1.4522,-0.07488,-0.0003,0.758634
0.7545,1.168,-1.4364,-0.07485,-0.0003,0.758528
0.7542,1.1852,-1.4357,-0.07482,-0.0003,0.75842
0.7542,1.1852,-1.4357,-0.07542,0,0.758317
0.7538,1.2643,-1.4342,-0.07458,-0.0004,0.75821
0.7535,1.2875,-1.4492,-0.07475,-0.0003,0.7581
0.7532,1.3468,-1.4282,-0.07472,-0.0003,0.757989
0.7528,1.3562,-1.4324,-0.07448,-0.0004,0.757873
0.7524,1.4475,-1.4317,-0.07444,-0.0004,0.757754
0.7516,1.5133,-1.4257,-0.07356,-0.0008,0.757623
0.7512,1.5549,-1.4247,-0.07432,-0.0004,0.75749
0.7508,1.6005,-1.4027,-0.07428,-0.0004,0.757353
0.7504,1.6613,-1.4217,-0.07424,-0.0004,0.757214
0.7504,1.6613,-1.4217,-0.07504,0,0.75708
0.7499,1.6929,-1.4197,-0.07399,-0.0005,0.756942
0.7494,1.7624,-1.4397,-0.07394,-0.0005,0.7568
0.7489,1.8426,-1.4134,-0.07389,-0.0005,0.756654
0.7484,1.8793,-1.4122,-0.07384,-0.0005,0.756504
0.7479,1.9184,-1.4109,-0.07379,-0.0005,0.75635
0.7474,1.9754,-1.4097,-0.07374,-0.0005,0.756193
0.7468,2.0362,-1.4084,-0.07348,-0.0006,0.756031
0.7457,2.1624,-1.4072,-0.07237,-0.0011,0.755856
0.7457,2.1624,-1.4072,-0.07457,0,0.755687
0.7451,2.1964,-1.3729,-0.07331,-0.0006,0.755513
0.7444,2.2569,-1.4279,-0.07304,-0.0007,0.755334
0.7444,2.2569,-1.4279,-0.07444,0,0.75516
0.7438,2.3318,-1.3897,-0.07318,-0.0006,0.754983
0.7431,2.4077,-1.4247,-0.07291,-0.0007,0.7548
0.7424,2.453,-1.3932,-0.07284,-0.0007,0.754612
0.7417,2.5281,-1.3864,-0.07277,-0.0007,0.754419
0.741,2.5951,-1.3847,-0.0727,-0.0007,0.754222
0.7402,2.6658,-1.3829,-0.07242,-0.0008,0.754019
0.7402,2.6658,-1.3829,-0.07402,0,0.753821
0.7394,2.7321,-1.3742,-0.07234,-0.0008,0.753618
0.7386,2.8005,-1.4142,-0.07226,-0.0008,0.75341
0.7377,2.8697,-1.3722,-0.07197,-0.0009,0.753195
0.7369,2.9383,-1.3702,-0.07209,-0.0008,0.752974
0.7369,2.9383,-1.3702,-0.07369,0,0.75276
0.736,3.0128,-1.3659,-0.0718,-0.0009,0.752539
0.7351,3.1021,-1.4059,-0.07171,-0.0009,0.752313
0.7341,3.158,-1.3587,-0.07141,-0.001,0.752079
0.7331,3.2251,-1.3564,-0.07131,-0.001,0.751839
0.7321,3.2924,-1.3489,-0.07121,-0.001,0.751592
