cte,speed,angle,steer_value,cte_diff,cte_integ
0.727,3.5317,-1.3729,-0.0727,0,0.751127
0.7259,3.5724,-1.3674,-0.07204,-0.0011,0.750788
0.7247,3.6604,-1.3812,-0.07187,-0.0012,0.750437
0.7235,3.7082,-1.3647,-0.07175,-0.0012,0.750074
0.7222,3.7907,-1.3604,-0.07157,-0.0013,0.749698
0.7222,3.7907,-1.3604,-0.07222,0,0.749322
0.7209,3.8416,-1.3529,-0.07144,-0.0013,0.748933
0.7196,3.9194,-1.3692,-0.07131,-0.0013,0.748531
0.7183,3.9743,-1.3497,-0.07118,-0.0013,0.748116
0.7169,4.0459,-1.3464,-0.07099,-0.0014,0.747687
0.7155,4.1062,-1.3432,-0.07085,-0.0014,0.747244
0.7141,4.1728,-1.3384,-0.07071,-0.0014,0.746787
0.7126,4.2362,-1.3349,-0.07051,-0.0015,0.746315
0.7126,4.2362,-1.3349,-0.07126,0,0.745843
0.7111,4.3007,-1.3264,-0.07036,-0.0015,0.745356
0.7096,4.3647,-1.3452,-0.07021,-0.0015,0.744854
0.708,4.4287,-1.3227,-0.07,-0.0016,0.744336
0.708,4.4287,-1.3227,-0.0708,0,0.743817
0.7048,4.5562,-1.3137,-0.06888,-0.0032,0.743266
0.7031,4.6198,-1.3337,-0.06946,-0.0017,0.742699
0.7031,4.6198,-1.3337,-0.07031,0,0.742132
0.7014,4.6832,-1.3002,-0.06929,-0.0017,0.741548
0.6997,4.7465,-1.3214,-0.06912,-0.0017,0.740947
0.6979,4.8097,-1.2959,-0.06889,-0.0018,0.740329
0.6979,4.8097,-1.2959,-0.06979,0,0.739711
0.6943,4.9357,-1.2859,-0.06763,-0.0036,0.739058
0.6943,4.9357,-1.2859,-0.06943,0,0.738407
0.6924,4.9986,-1.2544,-0.06829,-0.0019,0.737737
0.6905,5.0612,-1.2994,-0.0681,-0.0019,0.73705
0.6905,5.0612,-1.2994,-0.06905,0,0.736364
0.6885,5.1238,-1.2662,-0.06785,-0.002,0.735659
0.6865,5.1862,-1.2899,-0.06765,-0.002,0.734935
0.6845,5.2486,-1.2599,-0.06745,-0.002,0.734192
0.6824,5.3108,-1.2549,-0.06719,-0.0021,0.733428
0.6803,5.3728,-1.2499,-0.06698,-0.0021,0.732644
0.6781,5.4348,-1.2434,-0.06671,-0.0022,0.731839
0.6759,5.4966,-1.2382,-0.06649,-0.0022,0.731014
0.6759,5.4966,-1.2382,-0.06759,0,0.730192
0.6737,5.5583,-1.2259,-0.06627,-0.0022,0.729351
0.6714,5.6198,-1.2534,-0.06599,-0.0023,0.728488
0.6691,5.6813,-1.2204,-0.06576,-0.0023,0.727602
0.6691,5.6813,-1.2204,-0.06691,0,0.726718
0.6668,5.7426,-1.2077,-0.06553,-0.0023,0.725813
0.6644,5.8037,-1.2364,-0.06524,-0.0024,0.724886
0.6619,5.8648,-1.2019,-0.06494,-0.0025,0.723936
0.6594,5.9257,-1.1947,-0.06469,-0.0025,0.722963
0.6569,5.9866,-1.1872,-0.06444,-0.0025,0.721967
0.6517,6.1078,-1.1809,-0.06257,-0.0052,0.720922
0.6491,6.1682,-1.1747,-0.06361,-0.0026,0.719853
0.6491,6.1682,-1.1747,-0.06491,0,0.718789
0.6464,6.2285,-1.1539,-0.06329,-0.0027,0.717701
0.6436,6.2887,-1.1864,-0.06296,-0.0028,0.716588
0.6436,6.2887,-1.1864,-0.06436,0,0.715477
0.6408,6.3488,-1.1377,-0.06268,-0.0028,0.714341
0.638,6.4087,-1.1727,-0.0624,-0.0028,0.71318
0.6351,6.4685,-1.1307,-0.06206,-0.0029,0.711994
0.6322,6.5282,-1.1237,-0.06177,-0.0029,0.710779
0.6292,6.5878,-1.1152,-0.06142,-0.003,0.709537
0.6264,6.6472,-1.1079,-0.06124,-0.0028,0.70827
0.6264,6.6472,-1.1079,-0.06264,0,0.707007
0.6238,6.7065,-1.0947,-0.06108,-0.0026,0.705722
0.6215,6.7657,-1.1297,-0.061,-0.0023,0.704417
0.6194,6.8248,-1.0907,-0.06089,-0.0021,0.703099
0.6177,6.8837,-1.0887,-0.06092,-0.0017,0.701768
0.6164,6.9426,-1.0859,-0.06099,-0.0013,0.700429
0.6164,6.9426,-1.0859,-0.06164,0,0.699094
0.6157,7.0013,-1.0884,-0.06122,-0.0007,0.697752
0.6156,7.0599,-1.1047,-0.06151,-0.0001,0.696414
0.6163,7.1183,-1.0942,-0.06198,0.0007,0.695093
0.6179,7.1767,-1.1014,-0.06259,0.0016,0.693793
0.6143,7.2349,-1.1132,-0.05963,-0.0036,0.692462
0.6102,7.293,-1.1284,-0.05897,-0.0041,0.69109
0.6076,7.351,-1.0544,-0.05946,-0.0026,0.689698
0.6053,7.4088,-1.0379,-0.05938,-0.0023,0.688288
0.6034,7.4666,-1.0502,-0.05939,-0.0019,0.686865
0.6034,7.4666,-1.0502,-0.06034,0,0.685448
0.6018,7.5242,-1.0484,-0.05938,-0.0016,0.684021
0.6003,7.5817,-1.0722,-0.05928,-0.0015,0.682579
0.5991,7.6391,-1.0482,-0.05931,-0.0012,0.681132
0.5946,8.0375,-1.0457,-0.05721,-0.0045,0.679646
0.594,8.1502,-1.0464,-0.0591,-0.0006,0.678161
0.594,8.1502,-1.0464,-0.0594,0,0.676683
0.5938,8.2064,-1.0412,-0.05928,-0.0002,0.675211
0.5935,8.2625,-1.0487,-0.0592,-0.0003,0.673751
0.5932,8.3185,-1.0457,-0.05917,-0.0003,0.672288
0.5929,8.3743,-1.0437,-0.05914,-0.0003,0.67083
0.5925,8.4301,-1.0429,-0.05905,-0.0004,0.669376
0.5925,8.4301,-1.0429,-0.05925,0,0.667922
0.592,8.4857,-1.0399,-0.05895,-0.0005,0.666471
0.5916,8.5412,-1.0449,-0.05896,-0.0004,0.665025
0.5911,8.5966,-1.0374,-0.05886,-0.0005,0.663583
0.5905,8.6519,-1.0377,-0.05875,-0.0006,0.662145
0.5905,8.6519,-1.0377,-0.05905,0,0.660716
0.5893,8.7621,-1.0324,-0.05833,-0.0012,0.659285
0.5887,8.8171,-1.0399,-0.05857,-0.0006,0.657858
0.5879,8.8719,-1.0219,-0.05839,-0.0008,0.656423
0.5872,8.9266,-1.0279,-0.05837,-0.0007,0.654992
0.5864,8.9812,-1.0234,-0.05824,-0.0008,0.653564
0.5864,8.9812,-1.0234,-0.05864,0,0.652147
0.5856,9.0357,-1.0197,-0.05816,-0.0008,0.650733
0.5847,9.0901,-1.0297,-0.05802,-0.0009,0.64931
0.5837,9.1444,-1.0177,-0.05787,-0.001,0.647888
0.5828,9.1985,-1.0142,-0.05783,-0.0009,0.646469
0.5818,9.2525,-1.0104,-0.05768,-0.001,0.645052
0.5818,9.2525,-1.0104,-0.05818,0,0.643648
0.5807,9.3065,-1.0057,-0.05752,-0.0011,0.642233
0.5784,9.414,-1.0182,-0.05669,-0.0023,0.640808
0.5772,9.4676,-1.0017,-0.05712,-0.0012,0.639384
0.5746,9.5745,-0.9809,-0.05616,-0.0026,0.637947
0.5733,9.6277,-0.9917,-0.05668,-0.0013,0.636511
0.5719,9.6809,-0.9677,-0.05649,-0.0014,0.635075
0.5704,9.7339,-0.9807,-0.05629,-0.0015,0.633638
0.5689,9.7868,-0.9759,-0.05614,-0.0015,0.632201
0.5689,9.7868,-0.9759,-0.05689,0,0.630764
0.5674,9.8397,-0.9672,-0.05599,-0.0015,0.629327
0.5641,9.945,-0.9859,-0.05476,-0.0033,0.627872
0.5624,9.9975,-0.9634,-0.05539,-0.0017,0.626416
0.5606,10.0499,-0.9327,-0.05516,-0.0018,0.624942
0.5569,10.1543,-0.9484,-0.05384,-0.0037,0.623463
0.555,10.2064,-0.9427,-0.05455,-0.0019,0.621982
0.553,10.2584,-0.9097,-0.0543,-0.002,0.620481
0.553,10.2584,-0.9097,-0.0553,0,0.618997
0.551,10.3102,-0.9212,-0.0541,-0.002,0.61751
0.5489,10.3619,-0.9462,-0.05384,-0.0021,0.61602
0.5467,10.4136,-0.9162,-0.05357,-0.0022,0.614508
0.5445,10.4651,-0.9097,-0.05335,-0.0022,0.61301
0.5423,10.5165,-0.9029,-0.05313,-0.0022,0.61149
0.54,10.5678,-0.8974,-0.05285,-0.0023,0.609966
0.5376,10.6191,-0.8919,-0.05256,-0.0024,0.608437
0.5352,10.6702,-0.8849,-0.05232,-0.0024,0.606884
0.5327,10.7212,-0.8777,-0.05202,-0.0025,0.605326
0.5302,10.7721,-0.8717,-0.05177,-0.0025,0.603763
0.5302,10.7721,-0.8717,-0.05302,0,0.60222
0.5276,10.8228,-0.8579,-0.05146,-0.0026,0.600672
0.5249,10.8735,-0.8892,-0.05114,-0.0027,0.599118
0.5222,10.9241,-0.8502,-0.05087,-0.0027,0.597559
0.5194,10.9746,-0.8422,-0.05054,-0.0028,0.595994
0.5166,11.0249,-0.8354,-0.05026,-0.0028,0.594401
0.5166,11.0249,-0.8354,-0.05166,0,0.59283
0.5137,11.0752,-0.8202,-0.04992,-0.0029,0.591253
0.5108,11.1254,-0.8552,-0.04963,-0.0029,0.58967
0.5078,11.1754,-0.8117,-0.04928,-0.003,0.588057
0.5047,11.2254,-0.8044,-0.04892,-0.0031,0.586436
0.5016,11.3023,-0.7957,-0.04861,-0.0031,0.584808
0.4985,11.2777,-0.7867,-0.0483,-0.0031,0.583174
0.4952,11.498,-0.7789,-0.04787,-0.0033,0.581532
0.4952,11.498,-0.7789,-0.04952,0,0.579915
0.492,11.1043,-0.7604,-0.0476,-0.0032,0.578318
0.4887,11.4507,-0.8017,-0.04722,-0.0033,0.576714
0.4853,11.613,-0.7537,-0.04683,-0.0034,0.575076
0.4853,11.613,-0.7537,-0.04853,0,0.573465
0.4784,11.7398,-0.7344,-0.04439,-0.0069,0.571813
0.4748,11.3851,-0.7769,-0.04568,-0.0036,0.570125
0.4748,11.3851,-0.7769,-0.04748,0,0.568465
0.4712,11.8577,-0.7057,-0.04532,-0.0036,0.566797
0.4676,11.4565,-0.7507,-0.04496,-0.0036,0.565122
0.4639,11.9755,-0.6967,-0.04454,-0.0037,0.563439
0.4602,11.5387,-0.6877,-0.04417,-0.0037,0.561749
0.4564,12.0081,-0.6772,-0.04374,-0.0038,0.560049
0.4526,11.8006,-0.6679,-0.04336,-0.0038,0.558311
0.4486,12.1205,-0.6572,-0.04286,-0.004,0.556559
0.4447,11.8304,-0.6477,-0.04252,-0.0039,0.554791
0.4447,11.8304,-0.6477,-0.04447,0,0.553044
0.4406,12.096,-0.6267,-0.04201,-0.0041,0.551273
0.4365,11.9998,-0.6754,-0.0416,-0.0041,0.549474
0.4282,12.1143,-0.6139,-0.03867,-0.0083,0.547592
0.4239,12.2291,-0.6037,-0.04024,-0.0043,0.545674
0.4239,12.2291,-0.6037,-0.04239,0,0.543757
0.4196,12.3326,-0.5697,-0.03981,-0.0043,0.54179
