cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.091176,0,0.7598
0.7598,0.438,0,-0.091176,0,0.7598
0.7598,0.876,-1.8431,-0.091176,0,0.7598
0.7598,0.876,-1.8431,-0.091176,0,0.7598
0.7598,1.314,-1.8431,-0.091176,0,0.7598
0.7598,1.752,-1.8431,-0.091176,0,0.7598
0.7598,2.19,-1.8431,-0.091176,0,0.7598
0.7598,2.19,-1.8431,-0.091176,0,0.7598
0.7598,3.066,-1.8431,-0.091176,0,0.7598
0.7598,3.504,-1.8431,-0.091176,0,0.7598
0.7598,3.942,-1.8431,-0.091176,0,0.7598
0.7598,4.38,-1.8431,-0.091176,0,0.7598
0.7598,4.818,-1.8431,-0.091176,0,0.7598
0.7598,4.818,-1.8431,-0.091176,0,0.7598
0.7598,5.694,-1.8431,-0.091176,0,0.7598
0.7598,6.132,-1.8431,-0.091176,0,0.7598
0.7598,6.132,-1.8431,-0.091176,0,0.7598
0.7599,6.7858,-1.8431,-0.091308,0.0001,0.759806
0.7599,6.7858,-1.8431,-0.091188,0,0.759811
0.7598,3.1893,-1.8464,-0.091056,-0.0001,0.75981
0.7598,3.1893,-1.8464,-0.091176,0,0.75981
0.7597,1.6851,-1.8401,-0.091044,-0.0001,0.759805
0.7597,0.4575,-1.8431,-0.091164,0,0.7598
0.7596,0.6158,-1.8398,-0.091032,-0.0001,0.759792
0.7596,0.6158,-1.8398,-0.091152,0,0.759784
0.7596,1.2351,-1.8395,-0.091152,0,0.759777
0.7594,1.7693,-1.8425,-0.090888,-0.0002,0.759763
0.7593,1.7237,-1.8425,-0.090996,-0.0001,0.759746
0.7591,1.318,-1.8359,-0.090852,-0.0002,0.759724
0.759,1.0666,-1.8386,-0.09096,-0.0001,0.7597
0.7589,0.8134,-1.835,-0.090948,-0.0001,0.759674
0.7588,0.64,-1.8377,-0.090936,-0.0001,0.759647
0.7588,0.64,-1.8377,-0.091056,0,0.759621
0.7586,0.5125,-1.8371,-0.090792,-0.0002,0.759591
0.7585,0.523,-1.8401,-0.0909,-0.0001,0.75956
0.7583,0.615,-1.8335,-0.090756,-0.0002,0.759525
0.7582,0.6558,-1.8362,-0.090864,-0.0001,0.759489
0.758,0.6947,-1.8326,-0.09072,-0.0002,0.75945
0.7578,0.7136,-1.8353,-0.090696,-0.0002,0.759408
0.7577,0.7238,-1.8317,-0.090804,-0.0001,0.759365
0.7577,0.7238,-1.8317,-0.090924,0,0.759324
0.7575,0.7557,-1.8338,-0.09066,-0.0002,0.759281
0.7573,0.7821,-1.8368,-0.090636,-0.0002,0.759235
0.7571,0.7822,-1.8302,-0.090612,-0.0002,0.759186
0.7569,0.8025,-1.8296,-0.090588,-0.0002,0.759136
0.7569,0.8025,-1.8296,-0.090828,0,0.759087
0.7567,0.8202,-1.8284,-0.090564,-0.0002,0.759036
0.7564,0.8956,-1.8344,-0.090408,-0.0003,0.758981
0.7562,0.9152,-1.8278,-0.090504,-0.0002,0.758924
0.7559,0.9556,-1.8239,-0.090348,-0.0003,0.758864
0.7559,0.9556,-1.8239,-0.090708,0,0.758806
0.7554,1.051,-1.8224,-0.090048,-0.0005,0.75874
0.7554,1.051,-1.8224,-0.090648,0,0.758677
0.7551,1.0863,-1.8149,-0.090252,-0.0003,0.758611
0.7548,1.1237,-1.8299,-0.090216,-0.0003,0.758542
0.7545,1.1582,-1.82,-0.09018,-0.0003,0.75847
0.7541,1.1913,-1.8191,-0.090012,-0.0004,0.758393
0.7541,1.1913,-1.8191,-0.090492,0,0.758319
0.7538,1.2393,-1.814,-0.090096,-0.0003,0.758242
0.7535,1.2194,-1.826,-0.09006,-0.0003,0.758163
0.7531,1.3051,-1.8161,-0.089892,-0.0004,0.75808
0.7527,1.3605,-1.8152,-0.089844,-0.0004,0.757994
0.7527,1.3605,-1.8152,-0.090324,0,0.75791
0.7523,1.3768,-1.8098,-0.089796,-0.0004,0.757822
0.7519,1.4245,-1.8218,-0.089748,-0.0004,0.757731
0.7515,1.4911,-1.8086,-0.0897,-0.0004,0.757636
0.7511,1.5405,-1.8074,-0.089652,-0.0004,0.757539
0.7506,1.584,-1.8062,-0.089472,-0.0005,0.757437
0.7502,1.6323,-1.805,-0.089544,-0.0004,0.757332
0.7492,1.6977,-1.8005,-0.088704,-0.001,0.757216
0.7487,1.7636,-1.8023,-0.089244,-0.0005,0.757096
0.7482,1.82,-1.7813,-0.089184,-0.0005,0.756972
0.7476,1.8783,-1.7948,-0.088992,-0.0006,0.756844
0.7476,1.8783,-1.7948,-0.089712,0,0.756719
0.747,1.9289,-1.7885,-0.08892,-0.0006,0.756589
0.7464,2.0128,-1.8065,-0.088848,-0.0006,0.756455
0.7458,2.046,-1.7867,-0.088776,-0.0006,0.756317
0.7445,2.1618,-1.7849,-0.08778,-0.0013,0.756165
0.7438,2.2092,-1.7831,-0.088416,-0.0007,0.756009
0.7438,2.2092,-1.7831,-0.089256,0,0.755856
0.7432,2.2593,-1.7741,-0.088464,-0.0006,0.7557
0.7424,2.3334,-1.7951,-0.088128,-0.0008,0.755538
0.7417,2.4108,-1.7753,-0.088164,-0.0007,0.755371
0.7417,2.4108,-1.7753,-0.089004,0,0.755208
0.7409,2.4766,-1.7678,-0.087948,-0.0008,0.75504
0.7393,2.5983,-1.7888,-0.086796,-0.0016,0.754857
0.7385,2.6648,-1.7624,-0.08766,-0.0008,0.754669
0.7368,2.8038,-1.7336,-0.086376,-0.0017,0.754466
0.7359,2.87,-1.7552,-0.087228,-0.0009,0.754257
0.7359,2.87,-1.7552,-0.088308,0,0.754053
0.7349,2.9409,-1.7444,-0.086988,-0.001,0.753843
0.734,3.015,-1.7714,-0.087,-0.0009,0.753627
0.7329,3.1024,-1.7384,-0.086628,-0.0011,0.753404
0.7329,3.1024,-1.7384,-0.087948,0,0.753186
0.7319,3.16,-1.7294,-0.086628,-0.001,0.752962
0.7308,3.2271,-1.7624,-0.086376,-0.0011,0.752731
0.7297,3.294,-1.7294,-0.086244,-0.0011,0.752494
0.7286,3.3598,-1.7231,-0.086112,-0.0011,0.75225
0.7274,3.427,-1.7198,-0.085848,-0.0012,0.751999
0.7263,3.4915,-1.7165,-0.085836,-0.0011,0.751742
0.725,3.559,-1.7099,-0.08544,-0.0013,0.751394
0.725,3.559,-1.7099,-0.087,0,0.751046
0.7238,3.6235,-1.6997,-0.085416,-0.0012,0.750686
0.7225,3.6918,-1.7387,-0.08514,-0.0013,0.750313
0.7198,3.8233,-1.6991,-0.083136,-0.0027,0.749913
0.7198,3.8233,-1.6991,-0.086376,0,0.749513
0.717,3.9537,-1.6421,-0.08268,-0.0028,0.749085
0.717,3.9537,-1.6421,-0.08604,0,0.748657
0.7156,4.0164,-1.6307,-0.084192,-0.0014,0.748215
0.7141,4.0826,-1.7147,-0.083892,-0.0015,0.747758
0.7126,4.1461,-1.6685,-0.083712,-0.0015,0.747286
0.7094,4.275,-1.661,-0.081288,-0.0032,0.746782
0.7094,4.275,-1.661,-0.085128,0,0.746278
0.7078,4.3392,-1.5959,-0.083016,-0.0016,0.745758
0.7061,4.4032,-1.6919,-0.082692,-0.0017,0.745221
0.7044,4.467,-1.6391,-0.082488,-0.0017,0.744667
0.7044,4.467,-1.6391,-0.084528,0,0.744113
0.7027,4.5308,-1.6259,-0.082284,-0.0017,0.743541
0.7009,4.5944,-1.6769,-0.081948,-0.0018,0.742951
0.6991,4.6579,-1.6208,-0.081732,-0.0018,0.742344
0.6972,4.7213,-1.6124,-0.081384,-0.0019,0.741718
0.6972,4.7213,-1.6124,-0.083664,0,0.741093
0.6953,4.7845,-1.5983,-0.081156,-0.0019,0.740449
0.6933,4.8476,-1.6553,-0.080796,-0.002,0.739786
0.6913,4.9106,-1.5926,-0.080556,-0.002,0.739103
0.6893,4.9735,-1.5836,-0.080316,-0.002,0.7384
0.6872,5.0362,-1.5776,-0.079944,-0.0021,0.737678
0.6851,5.0988,-1.5716,-0.079692,-0.0021,0.736936
0.683,5.1613,-1.5623,-0.07944,-0.0021,0.736175
0.6808,5.2237,-1.556,-0.079056,-0.0022,0.735393
0.6785,5.2859,-1.5497,-0.07866,-0.0023,0.734589
0.6762,5.3481,-1.5401,-0.078384,-0.0023,0.733763
0.6762,5.3481,-1.5401,-0.081144,0,0.732937
0.6739,5.41,-1.5233,-0.078108,-0.0023,0.73209
0.6691,5.5336,-1.5923,-0.074532,-0.0048,0.731196
0.6691,5.5336,-1.5923,-0.080292,0,0.730304
0.6666,5.5952,-1.427,-0.076992,-0.0025,0.729388
0.6641,5.6567,-1.571,-0.076692,-0.0025,0.728449
0.6615,5.7181,-1.4885,-0.07626,-0.0026,0.727486
0.6562,5.8404,-1.481,-0.072384,-0.0053,0.726471
0.6562,5.8404,-1.481,-0.078744,0,0.725456
0.6535,5.9014,-1.3733,-0.07518,-0.0027,0.724416
0.6451,6.0836,-1.5323,-0.067332,-0.0084,0.723294
0.6421,6.1441,-1.4432,-0.073452,-0.003,0.722144
0.6362,6.2647,-1.247,-0.069264,-0.0059,0.720937
0.627,6.4446,-1.4,-0.0642,-0.0092,0.719638
0.6238,6.5044,-1.2953,-0.071016,-0.0032,0.718309
0.6173,6.6235,-1.1687,-0.066276,-0.0065,0.716918
0.6143,6.6829,-1.3391,-0.070116,-0.003,0.715499
0.6115,6.7421,-1.2206,-0.07002,-0.0028,0.714055
0.6089,6.8012,-1.3166,-0.069948,-0.0026,0.712585
0.6066,6.8602,-1.3142,-0.070032,-0.0023,0.711097
0.6047,6.9191,-1.3124,-0.070284,-0.0019,0.70959
0.6032,6.9778,-1.3145,-0.070584,-0.0015,0.708071
0.6023,7.0364,-1.3208,-0.071196,-0.0009,0.706546
0.6026,7.1533,-1.3283,-0.072672,0.0003,0.705027
0.6042,7.2116,-1.3436,-0.074424,0.0016,0.703528
0.6042,7.2116,-1.3436,-0.072504,0,0.702029
0.5976,7.2697,-1.4243,-0.063792,-0.0066,0.700467
0.5943,7.3277,-1.3763,-0.067356,-0.0033,0.698875
0.5914,7.3857,-1.1585,-0.067488,-0.0029,0.697258
0.5888,7.4435,-1.2476,-0.067536,-0.0026,0.695619
0.5865,7.5011,-1.2509,-0.06762,-0.0023,0.693957
0.5865,7.5011,-1.2509,-0.07038,0,0.692299
0.5844,7.5587,-1.2542,-0.067608,-0.0021,0.690624
0.5826,7.6161,-1.3232,-0.067752,-0.0018,0.688935
0.5783,7.7877,-1.2539,-0.064236,-0.0043,0.687207
0.5717,8.1839,-1.2575,-0.060684,-0.0066,0.685418
0.5701,8.2961,-1.1696,-0.066492,-0.0016,0.683617
0.5692,8.352,-1.0808,-0.067224,-0.0009,0.681817
0.5692,8.352,-1.0808,-0.068304,0,0.680022
0.5683,8.4078,-1.2443,-0.067116,-0.0009,0.678223
0.5674,8.4635,-1.2713,-0.067008,-0.0009,0.676421
0.5663,8.519,-1.2416,-0.066636,-0.0011,0.674608
0.5653,8.5745,-1.2389,-0.066636,-0.001,0.672791
0.5653,8.5745,-1.2389,-0.067836,0,0.67098
0.5642,8.6298,-1.2296,-0.066384,-0.0011,0.669164
0.563,8.685,-1.2596,-0.06612,-0.0012,0.667349
0.5618,8.7401,-1.2233,-0.065976,-0.0012,0.665529
0.5605,8.7951,-1.2167,-0.0657,-0.0013,0.663696
0.5549,9.0139,-1.2131,-0.059868,-0.0056,0.661813
0.5533,9.0683,-1.2062,-0.064476,-0.0016,0.659922
0.5518,9.1226,-1.0604,-0.064416,-0.0015,0.658023
0.5501,9.1768,-1.1756,-0.063972,-0.0017,0.656107
0.5501,9.1768,-1.1756,-0.066012,0,0.654199
0.5485,9.2309,-1.163,-0.0639,-0.0016,0.652291
0.5467,9.2849,-1.214,-0.063444,-0.0018,0.650373
0.5449,9.3388,-1.1612,-0.063228,-0.0018,0.648454
0.5431,9.3925,-1.1498,-0.063012,-0.0018,0.646526
0.5431,9.3925,-1.1498,-0.065172,0,0.644598
0.5411,9.4461,-1.139,-0.062532,-0.002,0.64266
0.5392,9.4997,-1.193,-0.062424,-0.0019,0.640712
0.5371,9.5531,-1.127,-0.061932,-0.0021,0.638754
0.535,9.6064,-1.1243,-0.06168,-0.0021,0.636775
0.5329,9.6596,-1.112,-0.061428,-0.0021,0.634785
0.5307,9.7127,-1.1057,-0.061044,-0.0022,0.632784
0.5307,9.7127,-1.1057,-0.063684,0,0.630794
0.5284,9.7657,-1.0898,-0.060648,-0.0023,0.628792
0.5261,9.8185,-1.1558,-0.060372,-0.0023,0.626779
0.5237,9.8713,-1.0799,-0.059964,-0.0024,0.624753
0.5212,9.9239,-1.073,-0.059544,-0.0025,0.622715
0.5187,9.9765,-1.0628,-0.059244,-0.0025,0.620652
0.5187,9.9765,-1.0628,-0.062244,0,0.618601
0.5162,10.0289,-1.0448,-0.058944,-0.0025,0.616538
0.5136,10.0813,-1.1198,-0.058512,-0.0026,0.614476
0.5109,10.1335,-1.0373,-0.058068,-0.0027,0.612387
0.5053,10.2376,-1.0265,-0.053916,-0.0056,0.61027
0.4995,10.3413,-1.0154,-0.05298,-0.0058,0.608095
0.4966,10.393,-0.9116,-0.056112,-0.0029,0.605905
0.4935,10.4445,-0.8882,-0.0555,-0.0031,0.603699
0.4905,10.496,-0.9665,-0.05526,-0.003,0.601478
0.4873,10.5474,-0.9512,-0.054636,-0.0032,0.599257
0.4873,10.5474,-0.9512,-0.058476,0,0.597036
0.4841,10.5986,-0.9296,-0.054252,-0.0032,0.594799
0.4808,10.6498,-1.0256,-0.053736,-0.0033,0.592546
0.4775,10.7008,-0.92,-0.05334,-0.0033,0.590277
0.4741,10.7517,-0.9071,-0.052812,-0.0034,0.587974
0.4707,10.8026,-0.8972,-0.052404,-0.0034,0.585654
0.4671,10.8533,-0.884,-0.051732,-0.0036,0.583316
0.4636,10.9039,-0.8738,-0.051432,-0.0035,0.580961
0.4599,10.9544,-0.857,-0.050748,-0.0037,0.578588
0.4563,11.0049,-0.8495,-0.050436,-0.0036,0.576179
0.4525,11.0552,-0.8324,-0.04974,-0.0038,0.573751
0.4525,11.0552,-0.8324,-0.0543,0,0.571343
0.4487,11.1054,-0.8072,-0.049284,-0.0038,0.568917
0.4448,11.1555,-0.9212,-0.048696,-0.0039,0.566472
0.4409,11.2055,-0.7958,-0.048228,-0.0039,0.564009
0.4409,11.2055,-0.7958,-0.052908,0,0.561567
0.4369,11.2824,-0.7694,-0.047628,-0.004,0.559106
0.4328,11.2577,-0.8864,-0.047016,-0.0041,0.556626
0.4287,11.4788,-0.7544,-0.046524,-0.0041,0.554128
0.4246,11.0827,-0.7391,-0.046032,-0.0041,0.551612
0.4204,11.4305,-0.7268,-0.045408,-0.0042,0.549054
0.4161,11.595,-0.7145,-0.044772,-0.0043,0.546476
0.4119,11.3049,-0.6989,-0.044388,-0.0042,0.543904
0.4075,11.7156,-0.683,-0.04362,-0.0044,0.541288
0.4032,11.3786,-0.6734,-0.043224,-0.0043,0.538654
0.3987,11.8209,-0.6542,-0.042444,-0.0045,0.536
0.3943,11.4276,-0.6443,-0.042036,-0.0044,0.533328
0.3943,11.4276,-0.6443,-0.047316,0,0.530709
0.3897,11.9373,-0.6146,-0.041244,-0.0046,0.528044
0.3851,11.5768,-0.7466,-0.040692,-0.0046,0.52536
0.3804,12.0777,-0.5948,-0.040008,-0.0047,0.522713
0.3758,11.71,-0.581,-0.039576,-0.0046,0.52005
0.3709,12.2221,-0.5639,-0.038628,-0.0049,0.517397
0.3709,12.2221,-0.5639,-0.044508,0,0.514836
0.3662,11.6441,-0.5294,-0.038304,-0.0047,0.51226
0.3613,12.1588,-0.6764,-0.037476,-0.0049,0.5097
0.3564,11.961,-0.5213,-0.036888,-0.0049,0.507121
0.3514,12.3268,-0.5006,-0.036168,-0.005,0.50452
0.3465,11.9211,-0.4859,-0.0357,-0.0049,0.501896
0.3465,11.9211,-0.4859,-0.04158,0,0.499295
0.3414,12.4264,-0.4562,-0.034848,-0.0051,0.496662
0.3364,12.0633,-0.6032,-0.034368,-0.005,0.493994
0.3312,12.5515,-0.4349,-0.033504,-0.0052,0.491283
0.3262,12.0825,-0.4229,-0.033144,-0.005,0.488519
0.3209,12.5928,-0.4013,-0.032148,-0.0053,0.485686
0.3209,12.5928,-0.4013,-0.038508,0,0.482853
0.3157,12.3304,-0.3674,-0.031644,-0.0052,0.480034
0.3051,12.2286,-0.5264,-0.023892,-0.0106,0.477142
