cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.07598,0,0.7598
0.7598,0.438,0,-0.07598,0,0.7598
0.7598,0.876,-1.4632,-0.07598,0,0.7598
0.7598,0.876,-1.4632,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.752,-1.4632,-0.07598,0,0.7598
0.7598,2.19,-1.4632,-0.07598,0,0.7598
0.7598,2.628,-1.4632,-0.07598,0,0.7598
0.7598,3.066,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.942,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,4.818,-1.4632,-0.07598,0,0.7598
0.7598,5.256,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7599,6.57,-1.4632,-0.07609,0.0001,0.759805
0.7599,6.7858,-1.4632,-0.07599,0,0.75981
0.7598,4.8684,-1.4659,-0.07588,-0.0001,0.75981
0.7598,3.1915,-1.4634,-0.07598,0,0.759809
0.7598,3.1915,-1.4634,-0.07598,0,0.759809
0.7597,1.6892,-1.4632,-0.07587,-0.0001,0.759804
0.7597,0.4852,-1.4632,-0.07597,0,0.7598
0.7596,0.6089,-1.4604,-0.07586,-0.0001,0.759792
0.7596,1.2302,-1.4629,-0.07596,0,0.759785
0.7595,1.6237,-1.4602,-0.07585,-0.0001,0.759775
0.7594,1.7631,-1.4627,-0.07584,-0.0001,0.759762
0.7593,1.7282,-1.4599,-0.07583,-0.0001,0.759747
0.7592,1.5644,-1.4597,-0.07582,-0.0001,0.759729
0.7591,1.3208,-1.4594,-0.07581,-0.0001,0.759709
0.759,1.0647,-1.4592,-0.0758,-0.0001,0.759688
0.759,1.0647,-1.4592,-0.0759,0,0.759668
0.7589,0.7965,-1.4587,-0.07579,-0.0001,0.759646
0.7588,0.6374,-1.4612,-0.07578,-0.0001,0.759622
0.7587,0.5164,-1.4584,-0.07577,-0.0001,0.759597
0.7586,0.5398,-1.4582,-0.07576,-0.0001,0.759571
0.7584,0.6108,-1.4579,-0.07564,-0.0002,0.759541
0.7584,0.6108,-1.4579,-0.07584,0,0.759512
0.7581,0.6852,-1.4547,-0.07551,-0.0003,0.759478
0.758,0.725,-1.4597,-0.0757,-0.0001,0.759443
0.7578,0.7417,-1.4514,-0.07558,-0.0002,0.759405
0.7576,0.7602,-1.4562,-0.07556,-0.0002,0.759364
0.7574,0.8072,-1.4532,-0.07554,-0.0002,0.75932
0.7574,0.8072,-1.4532,-0.07574,0,0.759278
0.7572,0.8028,-1.4522,-0.07552,-0.0002,0.759234
0.7571,0.8007,-1.4572,-0.07561,-0.0001,0.75919
0.7569,0.8249,-1.4517,-0.07549,-0.0002,0.759143
0.7566,0.8831,-1.4539,-0.07536,-0.0003,0.759092
0.7564,0.9407,-1.4509,-0.07544,-0.0002,0.759039
0.7562,0.947,-1.4477,-0.07542,-0.0002,0.758985
0.7559,0.9591,-1.4497,-0.07529,-0.0003,0.758926
0.7554,1.0732,-1.4492,-0.07504,-0.0005,0.758861
0.7549,1.1084,-1.4459,-0.07499,-0.0005,0.758789
0.7546,1.1364,-1.4397,-0.07516,-0.0003,0.758714
0.7543,1.2199,-1.4384,-0.07513,-0.0003,0.758637
0.754,1.2322,-1.4427,-0.0751,-0.0003,0.758557
0.754,1.2322,-1.4427,-0.0754,0,0.75848
0.7537,1.2829,-1.4412,-0.07507,-0.0003,0.7584
0.7533,1.3188,-1.4487,-0.07493,-0.0004,0.758316
0.753,1.3617,-1.4404,-0.075,-0.0003,0.758231
0.7526,1.4634,-1.4369,-0.07486,-0.0004,0.758141
0.7522,1.4467,-1.4387,-0.07482,-0.0004,0.758048
0.7518,1.5326,-1.4352,-0.07478,-0.0004,0.757952
0.7514,1.5583,-1.4342,-0.07474,-0.0004,0.757853
0.751,1.5943,-1.4332,-0.0747,-0.0004,0.757751
0.7505,1.6549,-1.4322,-0.07455,-0.0005,0.757644
0.7501,1.7452,-1.4312,-0.07461,-0.0004,0.757535
0.7501,1.7452,-1.4312,-0.07501,0,0.757429
0.7496,1.7688,-1.4289,-0.07446,-0.0005,0.757318
0.7486,1.8802,-1.4389,-0.07386,-0.001,0.757197
0.7481,1.9495,-1.4252,-0.07431,-0.0005,0.757073
0.747,2.0296,-1.4102,-0.0736,-0.0011,0.756936
0.7465,2.0852,-1.4214,-0.07415,-0.0005,0.756797
0.7459,2.1525,-1.4037,-0.07399,-0.0006,0.756654
0.7453,2.221,-1.4174,-0.07393,-0.0006,0.756506
0.744,2.3218,-1.4134,-0.0731,-0.0013,0.756346
0.744,2.3218,-1.4134,-0.0744,0,0.75619
0.7434,2.3774,-1.3912,-0.07374,-0.0006,0.75603
0.7427,2.436,-1.4237,-0.07357,-0.0007,0.755865
0.742,2.4986,-1.4072,-0.0735,-0.0007,0.755696
0.7413,2.5762,-1.4029,-0.07343,-0.0007,0.755523
0.7413,2.5762,-1.4029,-0.07413,0,0.755354
0.7406,2.6294,-1.3994,-0.07336,-0.0007,0.75518
0.7398,2.7096,-1.4169,-0.07318,-0.0008,0.755001
0.7391,2.7676,-1.3977,-0.07321,-0.0007,0.754818
0.7383,2.8426,-1.3932,-0.07303,-0.0008,0.754631
0.7374,2.907,-1.3939,-0.07284,-0.0009,0.754437
0.7366,2.9814,-1.3894,-0.07286,-0.0008,0.754239
0.7366,2.9814,-1.3894,-0.07366,0,0.754045
0.7357,3.0639,-1.3852,-0.07267,-0.0009,0.753846
0.7348,3.1309,-1.4052,-0.07258,-0.0009,0.753641
0.7339,3.1956,-1.3804,-0.07249,-0.0009,0.753431
0.7339,3.1956,-1.3804,-0.07339,0,0.753225
0.7329,3.2644,-1.3759,-0.07229,-0.001,0.753014
0.7309,3.3974,-1.3984,-0.07109,-0.002,0.752786
0.7309,3.3974,-1.3984,-0.07309,0,0.752562
0.7299,3.4625,-1.3409,-0.07199,-0.001,0.752333
0.7288,3.5294,-1.3909,-0.07178,-0.0011,0.752098
0.7277,3.5941,-1.3634,-0.07167,-0.0011,0.751777
0.7266,3.6622,-1.3582,-0.07156,-0.0011,0.751445
0.7266,3.6622,-1.3582,-0.07266,0,0.751113
0.7254,3.7278,-1.3527,-0.07134,-0.0012,0.750769
0.7242,3.794,-1.3802,-0.07122,-0.0012,0.750413
0.723,3.8583,-1.3472,-0.0711,-0.0012,0.750045
0.7218,3.9247,-1.3442,-0.07098,-0.0012,0.749665
