cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.11397,0,0.7598
0.7598,0.438,0,-0.11397,0,0.7598
0.7598,0.876,-2.4129,-0.11397,0,0.7598
0.7598,0.876,-2.4129,-0.11397,0,0.7598
0.7598,1.314,-2.4129,-0.11397,0,0.7598
0.7598,1.752,-2.4129,-0.11397,0,0.7598
0.7598,2.19,-2.4129,-0.11397,0,0.7598
0.7598,2.628,-2.4129,-0.11397,0,0.7598
0.7598,2.628,-2.4129,-0.11397,0,0.7598
0.7598,3.066,-2.4129,-0.11397,0,0.7598
0.7598,3.504,-2.4129,-0.11397,0,0.7598
0.7598,3.942,-2.4129,-0.11397,0,0.7598
0.7598,4.38,-2.4129,-0.11397,0,0.7598
0.7598,4.38,-2.4129,-0.11397,0,0.7598
0.7598,4.818,-2.4129,-0.11397,0,0.7598
0.7598,5.256,-2.4129,-0.11397,0,0.7598
0.7598,5.694,-2.4129,-0.11397,0,0.7598
0.7598,6.132,-2.4129,-0.11397,0,0.7598
0.7599,6.57,-2.4129,-0.114185,0.0001,0.759805
0.7598,6.7858,-2.4129,-0.11377,-0.0001,0.759805
0.7598,6.7858,-2.4129,-0.11397,0,0.759805
0.7598,4.8685,-2.4079,-0.11397,0,0.759805
0.7597,3.1911,-2.4129,-0.113755,-0.0001,0.7598
0.7597,1.6808,-2.4129,-0.113955,0,0.759796
0.7596,0.4991,-2.4075,-0.11374,-0.0001,0.759788
0.7596,0.5689,-2.4125,-0.11394,0,0.759781
0.7596,0.5689,-2.4125,-0.11394,0,0.759774
0.7595,1.2433,-2.4122,-0.113725,-0.0001,0.759764
0.7594,1.6267,-2.4122,-0.11371,-0.0001,0.759752
0.7592,1.7675,-2.4068,-0.11348,-0.0002,0.759733
0.7591,1.7263,-2.4064,-0.113665,-0.0001,0.759713
0.759,1.5588,-2.4007,-0.11365,-0.0001,0.759691
0.7588,1.3204,-2.4053,-0.11342,-0.0002,0.759664
0.7588,1.3204,-2.4053,-0.11382,0,0.759638
0.7587,1.0637,-2.3992,-0.113605,-0.0001,0.759611
0.7585,0.812,-2.4092,-0.113375,-0.0002,0.759581
0.7584,0.6275,-2.4038,-0.11356,-0.0001,0.759549
0.7582,0.5458,-2.398,-0.11333,-0.0002,0.759513
0.7582,0.5458,-2.398,-0.11373,0,0.759479
0.758,0.5295,-2.3969,-0.1133,-0.0002,0.759442
0.7576,0.6779,-2.4069,-0.11284,-0.0004,0.759398
0.7576,0.6779,-2.4069,-0.11364,0,0.759355
0.7574,0.7272,-2.3847,-0.11321,-0.0002,0.759309
0.7572,0.7142,-2.4047,-0.11318,-0.0002,0.759261
0.7572,0.7142,-2.4047,-0.11358,0,0.759216
0.7569,0.7635,-2.3932,-0.112935,-0.0003,0.759165
0.7567,0.7661,-2.4032,-0.113105,-0.0002,0.759113
0.7565,0.7613,-2.387,-0.113075,-0.0002,0.759058
0.7562,0.8295,-2.3913,-0.11283,-0.0003,0.759
0.7559,0.8382,-2.3905,-0.112785,-0.0003,0.758938
0.7559,0.8382,-2.3905,-0.113385,0,0.758878
0.7556,0.8798,-2.3833,-0.11274,-0.0003,0.758815
0.7553,0.8827,-2.3983,-0.112695,-0.0003,0.758749
0.755,0.9116,-2.3822,-0.11265,-0.0003,0.75868
0.7543,0.9498,-2.381,-0.111745,-0.0007,0.7586
0.7543,0.9498,-2.381,-0.113145,0,0.758523
0.7536,1.0165,-2.3573,-0.11164,-0.0007,0.758437
0.7536,1.0165,-2.3573,-0.11304,0,0.758353
0.7533,1.0883,-2.3547,-0.112395,-0.0003,0.758268
0.7529,1.109,-2.3897,-0.112135,-0.0004,0.758178
0.7525,1.1089,-2.3735,-0.112075,-0.0004,0.758085
0.7521,1.1376,-2.367,-0.112015,-0.0004,0.757989
0.7521,1.1376,-2.367,-0.112815,0,0.757895
0.7517,1.1987,-2.364,-0.111955,-0.0004,0.757798
0.7512,1.2287,-2.384,-0.11168,-0.0005,0.757697
0.7508,1.2581,-2.3625,-0.11182,-0.0004,0.757592
0.7503,1.319,-2.3557,-0.111545,-0.0005,0.757484
0.7498,1.3481,-2.3592,-0.11147,-0.0005,0.757371
0.7498,1.3481,-2.3592,-0.11247,0,0.757261
0.7493,1.3795,-2.3504,-0.111395,-0.0005,0.757147
0.7488,1.4165,-2.3754,-0.11132,-0.0005,0.75703
0.7483,1.4279,-2.3485,-0.111245,-0.0005,0.756908
0.7478,1.479,-2.3467,-0.11117,-0.0005,0.756784
0.7478,1.479,-2.3467,-0.11217,0,0.756662
0.7472,1.5431,-2.3429,-0.11088,-0.0006,0.756536
0.7466,1.5632,-2.3679,-0.11079,-0.0006,0.756405
0.746,1.5792,-2.3357,-0.1107,-0.0006,0.75627
0.7454,1.618,-2.3334,-0.11061,-0.0006,0.756131
0.7448,1.6655,-2.3312,-0.11052,-0.0006,0.755987
0.7448,1.6655,-2.3312,-0.11172,0,0.755847
0.7442,1.7165,-2.3267,-0.11043,-0.0006,0.755704
0.7435,1.7689,-2.3567,-0.110125,-0.0007,0.755555
0.7428,1.8149,-2.3244,-0.11002,-0.0007,0.755401
0.7421,1.8498,-2.3168,-0.109915,-0.0007,0.755243
0.7414,1.9058,-2.3142,-0.10981,-0.0007,0.75508
0.7414,1.9058,-2.3142,-0.11121,0,0.754921
0.7407,1.9616,-2.3089,-0.109705,-0.0007,0.754757
0.7399,2.0085,-2.3439,-0.109385,-0.0008,0.754589
0.7391,2.0715,-2.3063,-0.109265,-0.0008,0.754415
0.7383,2.1403,-2.2983,-0.109145,-0.0008,0.754236
0.7374,2.1971,-2.2953,-0.10881,-0.0009,0.754051
0.7374,2.1971,-2.2953,-0.11061,0,0.75387
0.7365,2.2383,-2.2839,-0.108675,-0.0009,0.753683
0.7356,2.2506,-2.3289,-0.10854,-0.0009,0.75349
0.7347,2.3046,-2.2805,-0.108405,-0.0009,0.753293
0.7338,2.3631,-2.2772,-0.10827,-0.0009,0.75309
0.7328,2.4296,-2.2738,-0.10792,-0.001,0.75288
0.7318,2.5039,-2.2704,-0.10777,-0.001,0.752665
0.7318,2.5039,-2.2704,-0.10977,0,0.752455
0.7308,2.5555,-2.2579,-0.10762,-0.001,0.752238
0.7297,2.6136,-2.3079,-0.107255,-0.0011,0.751937
0.7286,2.6814,-2.2542,-0.10709,-0.0011,0.751625
0.7275,2.7469,-2.245,-0.106925,-0.0011,0.751302
0.7275,2.7469,-2.245,-0.109125,0,0.750979
0.7263,2.8122,-2.2368,-0.106545,-0.0012,0.750644
0.7251,2.878,-2.2918,-0.106365,-0.0012,0.750297
0.7239,2.9492,-2.2273,-0.106185,-0.0012,0.749938
0.7226,3.0264,-2.2228,-0.10579,-0.0013,0.749566
0.7213,3.1102,-2.2183,-0.105595,-0.0013,0.749181
0.7213,3.1102,-2.2183,-0.108195,0,0.748796
0.7199,3.1674,-2.2035,-0.105185,-0.0014,0.748397
0.7185,3.2344,-2.2685,-0.104975,-0.0014,0.747984
0.7171,3.3018,-2.1933,-0.104765,-0.0014,0.747557
0.7156,3.3672,-2.188,-0.10434,-0.0015,0.747115
0.7141,3.4347,-2.1828,-0.104115,-0.0015,0.746658
0.7141,3.4347,-2.1828,-0.107115,0,0.746201
0.7125,3.4988,-2.1665,-0.103675,-0.0016,0.745728
0.7093,3.6308,-2.2415,-0.099995,-0.0032,0.745223
0.7076,3.6994,-2.1555,-0.10274,-0.0017,0.7447
0.7059,3.764,-2.0635,-0.102485,-0.0017,0.744161
0.7041,3.8311,-2.1322,-0.102015,-0.0018,0.743604
0.7041,3.8311,-2.1322,-0.105615,0,0.743047
0.7023,3.8939,-2.114,-0.101745,-0.0018,0.742473
0.7005,3.9614,-2.204,-0.101475,-0.0018,0.741881
0.6986,4.0234,-2.1073,-0.10099,-0.0019,0.741271
0.6966,4.0902,-2.1005,-0.10049,-0.002,0.740641
0.6966,4.0902,-2.1005,-0.10449,0,0.740011
0.6946,4.1532,-2.0759,-0.10019,-0.002,0.739362
0.6926,4.2183,-2.1759,-0.09989,-0.002,0.738694
0.6905,4.2822,-2.0684,-0.099375,-0.0021,0.738007
0.6884,4.3465,-2.0609,-0.09906,-0.0021,0.7373
0.6862,4.4104,-2.048,-0.09853,-0.0022,0.736572
0.684,4.4743,-2.0402,-0.0982,-0.0022,0.735824
0.684,4.4743,-2.0402,-0.1026,0,0.735076
0.6818,4.538,-2.0187,-0.09787,-0.0022,0.734307
0.6794,4.6016,-2.1287,-0.09711,-0.0024,0.733516
0.6771,4.6651,-2.0104,-0.096965,-0.0023,0.732703
0.6747,4.7284,-1.9914,-0.096405,-0.0024,0.731868
0.6747,4.7284,-1.9914,-0.101205,0,0.731033
0.6722,4.7917,-1.9738,-0.09583,-0.0025,0.730175
0.6697,4.8547,-2.0938,-0.095455,-0.0025,0.729296
0.6671,4.9177,-1.9594,-0.094865,-0.0026,0.728391
0.6645,4.9806,-1.95,-0.094475,-0.0026,0.727462
0.6618,5.0433,-1.9353,-0.09387,-0.0027,0.726508
0.6618,5.0433,-1.9353,-0.09927,0,0.725554
0.6591,5.1059,-1.9104,-0.093465,-0.0027,0.724576
0.6563,5.1684,-2.0454,-0.092845,-0.0028,0.723572
0.6535,5.2307,-1.9003,-0.092425,-0.0028,0.722542
0.6506,5.293,-1.8848,-0.09179,-0.0029,0.721486
0.6477,5.3551,-1.8743,-0.091355,-0.0029,0.720404
