cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0.438,0,-0.094975,0,0.7598
0.7598,0.876,0,-0.094975,0,0.7598
0.7598,1.314,-1.938,-0.094975,0,0.7598
0.7598,1.752,-1.938,-0.094975,0,0.7598
0.7598,2.19,-1.938,-0.094975,0,0.7598
0.7598,2.628,-1.938,-0.094975,0,0.7598
0.7598,2.628,-1.938,-0.094975,0,0.7598
0.7598,3.066,-1.938,-0.094975,0,0.7598
0.7598,3.504,-1.938,-0.094975,0,0.7598
0.7598,3.942,-1.938,-0.094975,0,0.7598
0.7598,4.38,-1.938,-0.094975,0,0.7598
0.7598,4.818,-1.938,-0.094975,0,0.7598
0.7598,4.818,-1.938,-0.094975,0,0.7598
0.7598,5.256,-1.938,-0.094975,0,0.7598
0.7598,5.694,-1.938,-0.094975,0,0.7598
0.7598,6.132,-1.938,-0.094975,0,0.7598
0.7599,6.57,-1.938,-0.095137,0.0001,0.759806
0.7599,6.7858,-1.938,-0.0949871,0,0.759811
0.7599,6.7858,-1.938,-0.0949871,0,0.759816
0.7598,4.8701,-1.9383,-0.0948251,-0.0001,0.759815
0.7597,3.1879,-1.9383,-0.094813,-0.0001,0.75981
0.7597,1.6828,-1.9343,-0.094963,0,0.759805
0.7597,0.4632,-1.934,-0.094963,0,0.7598
0.7596,0.6144,-1.9377,-0.094801,-0.0001,0.759792
0.7596,0.6144,-1.9377,-0.0949509,0,0.759784
0.7595,1.2371,-1.9337,-0.0947889,-0.0001,0.759773
0.7594,1.6176,-1.9374,-0.0947768,-0.0001,0.759759
0.7593,1.7585,-1.9334,-0.0947647,-0.0001,0.759743
0.7592,1.7255,-1.9331,-0.0947526,-0.0001,0.759724
0.7591,1.5595,-1.9328,-0.0947405,-0.0001,0.759703
0.759,1.3249,-1.9325,-0.0947284,-0.0001,0.759681
0.759,1.3249,-1.9325,-0.0948783,0,0.759659
0.7588,1.0652,-1.9319,-0.0945542,-0.0002,0.759633
0.7587,0.8141,-1.9356,-0.094692,-0.0001,0.759606
0.7586,0.6321,-1.9275,-0.0946799,-0.0001,0.759577
0.7584,0.5247,-1.931,-0.0945057,-0.0002,0.759544
0.7583,0.5336,-1.9307,-0.0946436,-0.0001,0.759511
0.7583,0.5336,-1.9307,-0.0947934,0,0.759479
0.7581,0.5938,-1.9298,-0.0944692,-0.0002,0.759444
0.758,0.6404,-1.9335,-0.094607,-0.0001,0.759407
0.7578,0.6841,-1.9254,-0.0944328,-0.0002,0.759368
0.7576,0.762,-1.9288,-0.0944086,-0.0002,0.759326
0.7576,0.762,-1.9288,-0.0947084,0,0.759286
0.7574,0.736,-1.9239,-0.0943842,-0.0002,0.759243
0.7572,0.7746,-1.9314,-0.09436,-0.0002,0.759198
0.757,0.7399,-1.9233,-0.0943358,-0.0002,0.75915
0.7567,0.8243,-1.9227,-0.0941495,-0.0003,0.759098
0.7565,0.8217,-1.9221,-0.0942752,-0.0002,0.759044
0.7565,0.8217,-1.9221,-0.094575,0,0.758992
0.7563,0.8459,-1.9205,-0.0942507,-0.0002,0.758938
0.756,0.8899,-1.928,-0.0940644,-0.0003,0.75888
